web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556481244-2228","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@FranPelayo","Francisco J. Pelayo","Gun control activist Lucy McBath joins two other Democrats challenging Republican U.S. Rep. Karen Handel. #gapol http://ow.ly/o72v30iML8b","5","25","102","1520352305000","8:05 AM - 6 Mar 2018","/FranPelayo/status/971054066292936710","null"
"1556481244-2028","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@NewtownAction","Newtown Action","5 days after the Sandy Hook shooting, Secretary of Education Arne Duncan visited the Sandy Hook teachers & hailed Newtown teachers' 'Quiet Heroism' and supported gun control measures to keep children & teachers safe in schools. https://www.huffingtonpost.com/2012/12/19/arne-duncan-newtown_n_2331001.html?ncid=engmodushpmg00000004 … #NeverAgain #Parklandhttps://twitter.com/thehill/status/971459240144629760 …","","12","35","1520450740000","11:25 AM - 7 Mar 2018","/NewtownAction/status/971466933894877185","null"
"1556481244-1998","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@blazingactivist","Blazing 💥 💫","Nobody is taking away your guns. It's gun control, not a gun ban. If you are a responsible gun owner then you clearly don't need to be worried about stricter gun laws.","11","8","108","1520466587000","3:49 PM - 7 Mar 2018","/blazingactivist/status/971533401357475840","null"
"1556481244-2193","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@JeremiasCoiro","jerm","Judson walkout 2018, March 20th we will walk out after the attendance bell sounds during 2nd period. This will not be about just gun control but about all of your wants. This is to bring awareness and to have your voices be heard. There will be voting registrations and many more","1","31","48","1520364823000","11:33 AM - 6 Mar 2018","/JeremiasCoiro/status/971106572180099074","null"
"1556481244-2216","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@Thomas1774Paine","Mike 'Thomas Paine' Moore","Mitch McConnell Rejects Frenzied Gun Control Push: Not on Senate Agenda http://ow.ly/K31I30iMF3f","5","95","163","1520355628000","9:00 AM - 6 Mar 2018","/Thomas1774Paine/status/971068004451659776","null"
"1556481244-2080","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@davidharsanyi","David Harsanyi","In a debate imbued with emotion, gun-control advocates rely on ignorance  http://thefederalist.com/2018/03/07/if-youre-trying-to-ban-guns-the-least-you-can-do-is-learn-the-basics/#.Wp_wODB1AtM.twitter …","38","254","610","1520431228000","6:00 AM - 7 Mar 2018","/davidharsanyi/status/971385092336648198","null"
"1556481244-2332","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@RealJack","Jack Murphy","Leftists in Hollywood had no impact on the 2016 election despite going all in on Hillary. 

Leftists still have no influence. 

You see, when you live in gated communities & have armed guards, but also call for open borders & gun control, people start to see right though the BS.","31","632","1.1K","1520294030000","3:53 PM - 5 Mar 2018","/RealJack/status/970809642686304258","null"
"1556481244-2274","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@voxdotcom","Vox","Polls show support for gun control is widespread — but that doesn't necessarily make it an effective campaign issue: http://bit.ly/2H6vRsL","2","26","48","1520322304000","11:45 PM - 5 Mar 2018","/voxdotcom/status/970928231456083969","null"
"1556481244-2348","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@NaphiSoc","Cali Dreaming NaphiSoc","BREAKING 

Former VP and Presidential Candidate Al Gore visits 
 ==> #CA48 OFFICIALLY #CADem2018 endorsed <=== candidate, .@drhanskeirstead to discuss gun control, climate change and a Republican dirty word ""science""

#DefeatDanapic.twitter.com/oicixpdVCq","","16","29","1520288092000","2:14 PM - 5 Mar 2018","/NaphiSoc/status/970784739308093440","null"
"1556481244-2451","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@RIP_JEP","Joshua E Perry","People are mad about celebs that have armed security, advocating for gun control. Makes sense to me. Gun control doesn’t take away guns from good people like armed security or hunters. It takes them away from unstable teens that kill kids at school. Not a hard concept","19","32","291","1520252292000","4:18 AM - 5 Mar 2018","/RIP_JEP/status/970634583489351680","null"
"1556481244-2129","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@SSUERHS","Students Stand Up 🇺🇸","Our country has fallen into a cycle: 

School Shooting

Thoughts and prayers

Media frenzy

Push for strict gun control

No change

Movement slowly dies down and is eventually forgotten

Rinse and Repeat

We as American students CAN’T let this be swept under the rug. #NeverAgain","","19","38","1520390872000","6:47 PM - 6 Mar 2018","/SSUERHS/status/971215829600579584","null"
"1556481244-2473","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@Thomas1774Paine","Mike 'Thomas Paine' Moore","Gun Company Drops Truth Hammer on Gun Control Activists After Dick’s Stops Selling AR-15s | http://ow.ly/BfHI30iKlpJ","3","68","111","1520228703000","9:45 PM - 4 Mar 2018","/Thomas1774Paine/status/970535643527905280","null"
"1556481244-2420","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@mhwestbrook","MW","cc  @NBCNews @CBSNews @ABC @FoxNews @cnn @MSNBC @TheAcademy #Oscars. Any comment on celebrity lectures on gun control while they themselves enjoy their use for personal protection? Meanwhile, school children are relegated to ""gun free zones"" as sitting ducks.","7","41","212","1520265538000","7:58 AM - 5 Mar 2018","/mhwestbrook/status/970690140388708352","null"
"1556481244-2108","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@Astartiel","🧙‍♀️ 🧛🏻‍♀️ 🧜‍♀️Asᴛᴀʀᴛɪᴇʟ™ ██████ ✪","Your entire school should have a walk out to protest Betsy DeVos. She's trying to destroy education in America step-by-step and I can't see her doing anything good at your school. She's just pandering for attention, trying to turn the narrative from gun control to her agenda.","29","109","1.5K","1520404480000","10:34 PM - 6 Mar 2018","/Astartiel/status/971272903416254469","null"
"1556481244-2050","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@BenSwann_","Ben Swann","Researchers at @Northeastern released a new study claiming that mass #school shootings are not on the rise and that shooting deaths in schools have been in decline since peaking in the 1990s. #schoolshooting #2A #gunrights #guncontrol #truthinmediahttp://truthinmedia.com/study-school-shootings-not-an-epidemic/ …","23","99","159","1520442045000","9:00 AM - 7 Mar 2018","/BenSwann_/status/971430463830216705","null"
"1556481244-2238","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@NRA","NRA","Just another example of gun-control activists showing their true colors. Not only do they want to strip people of their #2A rights, but they also diminish people's life experiences in a way that is unbecoming. #TuesdayThoughts #smhhttp://ms.spr.ly/6013r0Zpz","644","475","1.3K","1520349900000","7:25 AM - 6 Mar 2018","/NRA/status/971043979621027840","null"
"1556481244-2039","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@MJ_Mouton","M.J. Mouton","Rachel Carson's work was called ""Junk Science"" by the Ag. Industry, because if DDT was found harmful, farmers lose money. 
#climatechange is called ""Junk Science"" by the fossil fuel industry because clean energy will lose them money. 
Gun Control, no science. 
#Patternspic.twitter.com/QtmtJ1yu1X","8","124","188","1520447246000","10:27 AM - 7 Mar 2018","/MJ_Mouton/status/971452279223148546","null"
"1556481244-2502","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@Jeff_Jacoby","Jeff Jacoby","If I were an American Democrat who passionately advocated much stricter #GunControl, or maybe even repeal of the #2ndAmendment, it would give me pause to discover that my view was so strongly endorsed by one of the world's bloodiest tyrants.https://twitter.com/khamenei_ir/status/970288285871427584 …","7","8","25","1520216576000","6:22 PM - 4 Mar 2018","/Jeff_Jacoby/status/970484778578391040","null"
"1556481244-2353","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@Real_PeachyKeen","Georgia 🍑Peach ⭐ ⭐ ⭐","They have no central Party platform...they go wherever the wind blows and, lately, that's been gun control.","","2","11","1520286925000","1:55 PM - 5 Mar 2018","/Real_PeachyKeen/status/970779844815544321","null"
"1556481244-2337","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@OANN","One America News","Tonight's Tipping Points: Academy Awards, Farrakhan, & Gun Control!: http://youtu.be/jaE1dtnf9ys?a  via @YouTube","3","19","37","1520292673000","3:31 PM - 5 Mar 2018","/OANN/status/970803952425033734","null"
"1556481244-2183","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-03-05%20until%3A2018-03-08&src=typd&lang=en","@MsAvaArmstrong","Ava Armstrong, Author","First they take away your 1st amendment rights in the public square (Twitter, Facebook, Google, YouTube, etc.) 

Then they come for your 2nd amendment right - they take your guns.

They already have all of your money under lock and key.

This is now complete control.","3","20","31","1520369553000","12:52 PM - 6 Mar 2018","/MsAvaArmstrong/status/971126408113254400","null"
