web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556483330-5281","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@im2b","dl willson","Uhm ... guns... not the war on guns was spinning out of control.","1","","1","1522541129000","5:05 PM - 31 Mar 2018","/im2b/status/980234660490940416","null"
"1556483330-5125","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@Mikel_Jollett","Mikel Jollett","Evil?

You're saying kids asking for gun control measures are EVIL?

You're saying this as a ""security"" expert who has presumably dealt with terrorists and murderers and you expect anyone to take you seriously?

THIS is not only very stupid, it's dangerous. https://twitter.com/Uncle_Jimbo/status/980641832920109058 …","5","52","374","1522674642000","6:10 AM - 2 Apr 2018","/Mikel_Jollett/status/980794653749346305","null"
"1556483330-5010","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@NowTheEndBegins","Now The End Begins","Calling for a #boycott of David Hogg’s sponsors. Enough is enough. @davidhogg111 #davidhogg111 #snowflake #Liberals #guncontrol @IngrahamAnglepic.twitter.com/7LkSxZfrFR","","15","19","1522758890000","5:34 AM - 3 Apr 2018","/NowTheEndBegins/status/981148017796550656","null"
"1556483330-5066","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@LisaP808","ArmsAkimbo","None of these (mostly false or manipulated) stats negate needing stricter gun control. Chicago is surrounded by states with exceedingly lax gun laws, guns pour in.  http://www.politifact.com/florida/statements/2017/feb/21/richard-corcoran/do-most-mass-shootings-happen-gun-free-zones/ …","12","6","170","1522708232000","3:30 PM - 2 Apr 2018","/LisaP808/status/980935540831694848","null"
"1556483330-5151","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@Yvonne_Nicole_","Yvonne  🌐","London's homicide rate has officially surpassed NYC.

Tell me again how much gun control saves lives?","7","69","131","1522636658000","7:37 PM - 1 Apr 2018","/Yvonne_Nicole_/status/980635337855680512","null"
"1556483330-4953","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@SMGxPrincessirl","EQNX | SIREN | Ana Black @ ComboBreaker  💓","There's an active shooter at YouTube headquarters in California..  I feel like it has something to do with the recent controversies and changes to their platform. Hope no one is seriously hurt  Gun control in the USA really needs to happen, y'all...","9","10","44","1522788846000","1:54 PM - 3 Apr 2018","/SMGxPrincessirl/status/981273662048235520","null"
"1556483330-4949","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@NuanceBro","Nuance Bro","There no way the re could be a shooting at YouTube. California has one of the strictest gun control laws and YouTube HQ is a gun free zone. Guns are automatically vaporized upon entry in gun free zones","14","48","205","1522789281000","2:01 PM - 3 Apr 2018","/NuanceBro/status/981275483953250304","null"
"1556483330-4902","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@brookehouts","Brooke Houts","Can't believe there was a shooting at the YouTube HQ. How many times do we have to discuss gun control before action is taken? MAKES NO SENSE.","7","18","141","1522794199000","3:23 PM - 3 Apr 2018","/brookehouts/status/981296112605716480","null"
"1556483330-5224","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@freep","Detroit Free Press","What being an ER doc taught me about sensible gun control | Guest column https://on.freep.com/2pV4ImA","5","19","32","1522581486000","4:18 AM - 1 Apr 2018","/freep/status/980403927945392128","null"
"1556483330-4906","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@MartiniShark","Brad Slager - Private Marvel 2nd Class  🍸  🥃 🎬 💻","California has some of the strictest gun control laws, in opposition to the NRA.
The logic here is just overflowing. https://twitter.com/michaelianblack/status/981268351744905217 …","1","14","27","1522793855000","3:17 PM - 3 Apr 2018","/MartiniShark/status/981294669979181056","null"
"1556483330-4871","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@pallavisharda","Pallavi Sharda","This is just unbelievable. #YouTubeHQ my thoughts are with you. My thoughts are also with the imbeciles who repeatedly fail to implement gun control.","2","3","34","1522799286000","4:48 PM - 3 Apr 2018","/pallavisharda/status/981317448778616833","null"
"1556483330-5203","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@1Romans58","JJ Truth","Both cities have extreme gun control. 

Murders in London Overtake New York for First Time Since 1800 Under Sadiq Khan http://bit.ly/2J8yn3w  via @BreitbartNews","","17","17","1522597511000","8:45 AM - 1 Apr 2018","/1Romans58/status/980471145404207110","null"
"1556483330-5195","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@bocavista2016","Boca Vista","DEAR LIBS

READ THIS OVER AND OVER until it finally gets thru to your tide pod infested brains:

#GunControl DOESN'T stop criminals from committing crimes
It only turns the law abiding into their victims

GET IT NOW?



#Trump #MAGA #QAnon #Hannity #ThisWeek #AMJoy #CNNSOTUpic.twitter.com/M4OqxKBzQd","71","303","379","1522600092000","9:28 AM - 1 Apr 2018","/bocavista2016/status/980481970571538432","null"
"1556483330-5123","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@MacombsInHarlem","Friends Of Macombs","Wasn't the 2nd amendment created so states with slaves could create armed militia to keep the slaves under control? Apparently you feel God gave you the right to >> CONTROL OTHER HUMAN BEINGS PARTICLARLY BLACK HUMAN BEINGS WITH GUNS. @RevDrBarber @NYjusticeleague @womensmarch","5","15","102","1522676563000","6:42 AM - 2 Apr 2018","/MacombsInHarlem/status/980802712332898304","null"
"1556483330-5221","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@PeteDominick","Pete Dominick","Now this is a good law to control gun violence. https://twitter.com/thehill/status/980422291770298368 …","5","12","70","1522585986000","5:33 AM - 1 Apr 2018","/PeteDominick/status/980422803429249024","null"
"1556483330-5017","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-04-01%20until%3A2018-04-04&src=typd&lang=en","@SafetyPinDaily","SafetyPin-Daily","This gun control advocate hoped to win a seat in the Statehouse. After Parkland, she's thinking bigger. | via; MotherJones https://www.motherjones.com/politics/2018/04/this-gun-control-advocate-hoped-to-win-a-seat-in-the-statehouse-after-parkland-shes-thinking-bigger/ …","","13","19","1522752192000","3:43 AM - 3 Apr 2018","/SafetyPinDaily/status/981119922943258624","null"
