web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url,
"1556485398-7348","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@CGCguncontrol","CoalitionforGunControl","'In the era of Columbine, Las Vegas, Parkland and Sandy Hook, only someone wearing the blinkers of ideology — or cashing the cheques of the gun lobby, could advocate for larger magazines for guns.' #cdnpoli #GunControl https://ipolitics.ca/2018/05/03/why-andrew-scheer-will-never-be-prime-minister/ …","2","25","31","1525838242000","8:57 PM - 8 May 2018","/CGCguncontrol/status/994063753216970752","null"
"1556485398-7410","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@davis1988will","William Davis","Says the man who said he would consider gun control legislation when he was running for Senate.
http://freebeacon.com/politics/danny-tarkanian-tells-msnbc-something-gun-control-elected/ …https://twitter.com/DannyTarkanian/status/993588361477611520 …","6","93","75","1525725571000","1:39 PM - 7 May 2018","/davis1988will/status/993591177596239872","null"
"1556485398-7755","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@hannahhwatkinss","hannah","This girl CLAIMS to be liberal and support gun control, but clearly she is a fucking liar. Twitter, do your thing. pic.twitter.com/9o79iriqbX","1","5","31","1525208491000","2:01 PM - 1 May 2018","/hannahhwatkinss/status/991422387483652096","null"
"1556485398-7615","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@brandonformby","Brandon Formby  📝","Lots of protests and gun-control advocacy events are scheduled to coincide with the NRA convention. The uncle of a man killed at a Waffle House in Tennessee stood outside Dallas City Hall this morning & called for universal background checks for gun purchases.","11","46","106","1525454641000","10:24 AM - 4 May 2018","/brandonformby/status/992454816260657154","null"
"1556485398-7714","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@hero4hire4","Mack Harris","We don’t need “gun control”. We need Democrat control!!! pic.twitter.com/FdLiSmIzae","13","22","36","1525293452000","1:37 PM - 2 May 2018","/hero4hire4/status/991778741213900800","null"
"1556485398-7746","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@DaPholosopher","The Pholosopher  💛","Day 55 of 365 posting stories about defensive gun use. Share with the tags: #dgu #gunssavelives #GunControl
https://villages-news.com/summerfield-man-arrested-after-break-in-at-belleview-home/ …","","7","26","1525223625000","6:13 PM - 1 May 2018","/DaPholosopher/status/991485865363898369","null"
"1556485398-7674","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@mchastain81","Mary Elizabeth","Ma'am, we in Oklahoma love our guns and do not agree with you on gun control. Don't lie about us, please. Thank you. https://twitter.com/Alyssa_Milano/status/992087416767823873 …","111","467","2.7K","1525371031000","11:10 AM - 3 May 2018","/mchastain81/status/992104128418545664","null"
"1556485398-7614","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@CorrectWinger","Correct Wing","Gun control is not about guns. It is about the government controlling citizens.","12","124","332","1525454875000","10:27 AM - 4 May 2018","/CorrectWinger/status/992455795731259395","null"
"1556485398-7685","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@DailyCaller","The Daily Caller","A NEW HOPE: Young Americans Less Likely To Support Gun Control Despite Media Narrative https://trib.al/PNHJvmg pic.twitter.com/HnBh1tK43K","4","31","68","1525354141000","6:29 AM - 3 May 2018","/DailyCaller/status/992033286481424384","null"
"1556485398-7740","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@nprpolitics","NPR Politics","Gun-Control Advocates To Press Russia Questions During NRA Convention https://n.pr/2jmah9R","1","14","43","1525251777000","2:02 AM - 2 May 2018","/nprpolitics/status/991603942042681344","null"
"1556485398-7458","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@elinhilderbrand","Elin Hilderbrand","Absolutely not. I’m going to promote common sense gun control and if you can’t deal with that, please unfollow me. I have three teenagers and I am GOING TO FIGHT TO KEEP THEM SAFE. https://twitter.com/navy1066/status/993218959783677953 …","29","29","826","1525643685000","2:54 PM - 6 May 2018","/elinhilderbrand/status/993247721690746885","null"
"1556485398-7467","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@KevinMKruse","Kevin M. Kruse","To the contrary, when African Americans sought to arm themselves, the NRA often backed gun control measures. 

For instance, when the Black Panthers made use of open-carry laws in California, the NRA backed the Mulford Act which rolled back those rights. https://www.history.com/news/black-panthers-gun-control-nra-support-mulford-act …","3","24","77","1525630829000","11:20 AM - 6 May 2018","/KevinMKruse/status/993193799466864641","null"
"1556485398-7717","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@nprpolitics","NPR Politics","Gun Control Advocates To Press Russia Questions During NRA Convention https://n.pr/2FAxL3X","4","16","65","1525289700000","12:35 PM - 2 May 2018","/nprpolitics/status/991763002964688896","null"
"1556485398-7771","https://twitter.com/search?l=&q=gun%20control%20since%3A2018-05-01%20until%3A2018-05-10&src=typd&lang=en","@M1APatriot","🇺🇸M1A Patriot 🇺🇸","#GunControl advocates want to ban the AR-15 claiming it's used too much in public mass shootings...

However, ""Gun-Free Zones"" has more of a correlation to public mass shootings than the AR-15.

So, you want to ban ""Gun-Free Zones"" as well?... I didn't think so.

#gunsense #2A","5","13","33","1525179907000","6:05 AM - 1 May 2018","/M1APatriot/status/991302496625840128","null"
